👖~jeans.png|59,136,195|56,132,190|0.39|0.45
😈~smiling_imp.png|171,142,217|160,131,206|0.65|0.79
🔍~mag.png|188,222,245|154,178,195|0.19|0.49
🙋~raising_hand.png|146,104,202|213,160,120|0.23|0.72
🉑~accept.png|244,144,12|246,163,53|0.56|0.76
📚~books.png|204,214,221|172,168,178|0.25|0.77
👺~japanese_goblin.png|218,47,71|191,88,97|0.27|0.67
🔜~soon.png|45,52,58|45,52,58|0.35|0.35
🚁~helicopter.png|255,204,77|179,177,130|0.21|0.47
📰~newspaper.png|204,214,221|172,193,207|0.38|0.93
⚽~soccer.png|45,52,58|151,156,161|0.28|0.74
📇~card_index.png|204,214,221|146,165,178|0.36|0.76
🕧~clock1230.png|225,232,237|193,204,211|0.4|0.76
🚃~railway_car.png|255,232,182|171,180,135|0.14|0.53
🏁~checkered_flag.png|226,233,238|138,147,153|0.17|0.48
🔻~small_red_triangle_down.png|231,90,112|231,90,112|0.19|0.19
🔓~unlock.png|255,172,51|241,174,75|0.37|0.45
🆕~new.png|59,136,195|96,158,206|0.73|0.98
🎦~cinema.png|59,136,195|139,184,219|0.54|0.98
🛁~bathtub.png|204,214,221|196,207,215|0.31|0.39
😞~disappointed.png|255,205,76|243,194,70|0.66|0.74
👩~woman.png|255,172,51|251,186,67|0.37|0.69
📡~satellite.png|102,117,127|146,153,154|0.24|0.47
